uuid,Timestamp,DNI_Value,water_temp_into_solar,water_temp_out_of_solar,energy_captured_by_solar,solar_efficiency,water_flow_rate,percent_water_pump_flow_rate_used,current_average_water_temp_in_water_container,current_thermal_energy_in_water_container,average_temp_of_water_sent_out_of_water_container,energy_sent_out_of_water_container,volume_of_water_sent_out_of_water_container,energy_consumed_by_heater,energy_absorbed_from_pipes
very_secure_uuid_2,2003-03-16T04:00,0.0,47.0596,47.0596,0.0,0.15,0.5,0.025,46.118408,38591883.8144,0,0,0,-1115733.3333333333,0.0,0
very_secure_uuid_2,2003-03-16T05:00,0.0,46.118408,46.118408,0.0,0.15,0.5,0.025,45.196039840000005,37820046.138112,0,0,0,-1115733.3333333333,0.0,0
very_secure_uuid_2,2003-03-16T06:00,0.0,45.196039840000005,45.196039840000005,0.0,0.15,0.5,0.025,44.2921190432,37063645.21534976,0,0,0,-1115733.3333333333,0.0,0
very_secure_uuid_2,2003-03-16T07:00,0.0,44.2921190432,44.2921190432,0.0,0.15,0.5,0.025,43.40627666233601,36322372.31104278,0,0,0,-1115733.3333333333,0.0,0
very_secure_uuid_2,2003-03-16T08:00,0.0,43.40627666233601,43.40627666233601,0.0,0.15,0.5,0.025,50,41840000,38,8744560,55,-17837060.180237453,0.0,0
very_secure_uuid_2,2003-03-16T09:00,0.0,50,50.0,0.0,0.15,0.5,0.025,50,41840000,50,2092000,10,-3514560.0,0.0,0
very_secure_uuid_2,2003-03-16T10:00,157.245,50,56.08835803059274,764210.7,0.15,0.6,0.03,50,41840000,50,2092000,10,-2665776.6491999826,649579.0950000002,0
very_secure_uuid_2,2003-03-16T11:00,333.04,50,60.74579349904398,1618574.4,0.15,0.72,0.036,50,41840000,30,2510400,20,-1884223.3663999836,1375788.24,0
very_secure_uuid_2,2003-03-16T12:00,420.95500000000004,50,61.31869921128107,2045841.3000000003,0.15,0.864,0.0432,51.03655091168737,42707385.802899994,50,0,0,0,1738965.1049999997,0
very_secure_uuid_2,2003-03-16T13:00,450.38500000000005,51.03655091168737,61.12823201828393,2188871.1,0.15,1.0368,0.05184,50,41840000,15,3765600,60,-229003.04914400974,1860540.435,0
very_secure_uuid_2,2003-03-16T14:00,463.145,50,58.64799309870937,2250884.7,0.15,1.24416,0.062208,51.240663187261,42878186.9551,50,0,0,0,1913251.995,0
very_secure_uuid_2,2003-03-16T15:00,484.325,51.240663187261,58.77689060619822,2353819.5,0.15,1.4929919999999999,0.0746496,52.55898047263146,43981354.85949801,50,0,0,0,2000746.5750000004,0
very_secure_uuid_2,2003-03-16T16:00,496.485,52.55898047263146,58.99684738378108,2412917.0999999996,0.15,1.7915903999999998,0.08957952,53.909760643652056,45111687.706608035,50,1046000,5,0,2050979.5350000004,0
very_secure_uuid_2,2003-03-16T17:00,495.575,53.909760643652056,59.26481651055131,2408494.5,0.15,2.1499084799999997,0.10749542399999998,55.22912269476084,46215729.87097587,50,2092000,10,0,2047220.3250000007,0
very_secure_uuid_2,2003-03-16T18:00,500.175,55.22912269476084,59.7330912636393,2430850.4999999995,0.15,2.1499084799999997,0.10749542399999998,56.54435198381495,47316313.74005635,50,2092000,10,0,2066222.9249999986,0
very_secure_uuid_2,2003-03-16T19:00,465.875,56.54435198381495,60.73945641131783,2264152.5,0.15,2.1499084799999997,0.10749542399999998,57.66733568087383,48256026.49775522,50,2092000,10,0,1924529.624999999,0
very_secure_uuid_2,2003-03-16T20:00,384.38499999999993,57.66733568087383,61.128640141009484,1868111.0999999996,0.15,2.5798901759999997,0.1289945088,50,41840000,65,9518600,35,-1981969.9811998408,1587894.4349999996,0
very_secure_uuid_2,2003-03-16T21:00,43.45000000000001,50,50.326048273633845,211167.00000000003,0.15,1.8059231231999997,0.09029615615999999,50,41840000,50,2092000,10,-3280023.851999998,179491.95000000048,0
very_secure_uuid_2,2003-03-16T22:00,0.0,50,50.0,0.0,0.15,1.2641461862399996,0.06320730931199998,50,41840000,50,2092000,10,-3514560.0,0.0,0
very_secure_uuid_2,2003-03-16T23:00,0.0,50,50.0,0.0,0.15,0.8849023303679997,0.044245116518399984,50,41840000,50,0,0,-1115733.3333333333,0.0,0
very_secure_uuid_2,2003-03-17T00:00,0.0,50,50.0,0.0,0.15,0.6194316312575997,0.030971581562879984,50,41840000,50,0,0,-1115733.3333333333,0.0,0
very_secure_uuid_2,2003-03-17T01:00,0.0,50,50.0,0.0,0.15,0.5,0.025,49.0,41003200.0,0,0,0,-1115733.3333333333,0.0,0
